id,tool,asset,category,severity,title,description,evidence,recommendation,status
265,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 2121/tcp — ftp,Port 2121 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: ftp 1.3.1.,Nmap scan detected open port 2121/tcp with service 'ftp' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
266,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 3306/tcp — mysql,Port 3306 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: mysql 5.0.51a-3ubuntu5.,Nmap scan detected open port 3306/tcp with service 'mysql' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
267,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 5432/tcp — postgresql,Port 5432 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: postgresql 8.3.0 - 8.3.7.,Nmap scan detected open port 5432/tcp with service 'postgresql' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
268,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 5900/tcp — vnc,Port 5900 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: vnc .,Nmap scan detected open port 5900/tcp with service 'vnc' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
269,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 6000/tcp — X11,Port 6000 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: X11 .,Nmap scan detected open port 6000/tcp with service 'X11' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
270,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 6667/tcp — irc,Port 6667 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: irc .,Nmap scan detected open port 6667/tcp with service 'irc' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
271,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 8009/tcp — ajp13,Port 8009 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: ajp13 .,Nmap scan detected open port 8009/tcp with service 'ajp13' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
272,nmap,192.168.112.130 (192.168.112.130),open_port,Low,Open port 8180/tcp — http,Port 8180 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: http 1.1.,Nmap scan detected open port 8180/tcp with service 'http' on 192.168.112.130,Review this service and restrict access if not needed.,Potential
275,whatweb,http://192.168.112.130,tech_fingerprint,Low,Technology detected: Apache 2.2.8,WhatWeb detected 'Apache' on http://192.168.112.130. Detail: 2.2.8.,WhatWeb plugin match: Apache — 2.2.8 on http://192.168.112.130,Ensure Apache is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
279,whatweb,http://192.168.112.130,tech_fingerprint,Low,Technology detected: PHP 5.2.4-2ubuntu5.10,WhatWeb detected 'PHP' on http://192.168.112.130. Detail: 5.2.4-2ubuntu5.10.,WhatWeb plugin match: PHP — 5.2.4-2ubuntu5.10 on http://192.168.112.130,Ensure PHP is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
281,whatweb,http://192.168.112.130,tech_fingerprint,Low,Technology detected: WebDAV 2,WhatWeb detected 'WebDAV' on http://192.168.112.130. Detail: 2.,WhatWeb plugin match: WebDAV — 2 on http://192.168.112.130,Ensure WebDAV is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
283,ffuf,http://192.168.112.130/,endpoint,Low,Endpoint discovered: http://192.168.112.130/ [200],"ffuf discovered endpoint 'http://192.168.112.130/' returning HTTP 200. Response size: 891 bytes, 237 words.","ffuf found: http://192.168.112.130/ — status 200, length 891",Review endpoint 'http://192.168.112.130/' to confirm it should be publicly accessible.,Potential
289,ffuf,http://192.168.112.130/index,endpoint,Low,Endpoint discovered: http://192.168.112.130/index [200],"ffuf discovered endpoint 'http://192.168.112.130/index' returning HTTP 200. Response size: 891 bytes, 237 words.","ffuf found: http://192.168.112.130/index — status 200, length 891",Review endpoint 'http://192.168.112.130/index' to confirm it should be publicly accessible.,Potential
290,ffuf,http://192.168.112.130/index.php,endpoint,Low,Endpoint discovered: http://192.168.112.130/index.php [200],"ffuf discovered endpoint 'http://192.168.112.130/index.php' returning HTTP 200. Response size: 891 bytes, 237 words.","ffuf found: http://192.168.112.130/index.php — status 200, length 891",Review endpoint 'http://192.168.112.130/index.php' to confirm it should be publicly accessible.,Potential
291,ffuf,http://192.168.112.130/phpinfo,endpoint,Low,Endpoint discovered: http://192.168.112.130/phpinfo [200],"ffuf discovered endpoint 'http://192.168.112.130/phpinfo' returning HTTP 200. Response size: 48074 bytes, 2409 words.","ffuf found: http://192.168.112.130/phpinfo — status 200, length 48074",Review endpoint 'http://192.168.112.130/phpinfo' to confirm it should be publicly accessible.,Potential
292,ffuf,http://192.168.112.130/phpinfo.php,endpoint,Low,Endpoint discovered: http://192.168.112.130/phpinfo.php [200],"ffuf discovered endpoint 'http://192.168.112.130/phpinfo.php' returning HTTP 200. Response size: 48086 bytes, 2409 words.","ffuf found: http://192.168.112.130/phpinfo.php — status 200, length 48086",Review endpoint 'http://192.168.112.130/phpinfo.php' to confirm it should be publicly accessible.,Potential
255,nmap,192.168.112.130 (192.168.112.130),open_port,Info,Open port 80/tcp — http,Port 80 (tcp) is open on 192.168.112.130 (192.168.112.130). Service detected: http 2.2.8.,Nmap scan detected open port 80/tcp with service 'http' on 192.168.112.130,Ensure web server is patched and properly configured.,Potential
273,subfinder,192.168.112.130,subdomain,Info,Subdomain discovered: 192.168.112.130,Subdomain '192.168.112.130' was discovered under the target domain '192.168.112.130'. This expands the attack surface and may expose additional services.,Subfinder discovered subdomain: 192.168.112.130,Review this subdomain. Ensure it is intentional and properly secured. Remove unused subdomains to reduce attack surface.,Potential
274,httpx,http://192.168.112.130,live_host,Info,Live host detected: http://192.168.112.130 [200],Host http://192.168.112.130 is live and returned HTTP 200. Page title: unknown. Technologies detected: none.,curl/httpx detected live host at http://192.168.112.130 with status 200 and content length 0,Review this host. Ensure it is intentional and properly secured. Check for sensitive information exposure and proper authentication.,Potential
276,whatweb,http://192.168.112.130,tech_fingerprint,Info,Technology detected: Country,WhatWeb detected 'Country' on http://192.168.112.130. Detail: RESERVED.,WhatWeb plugin match: Country — RESERVED on http://192.168.112.130,Ensure Country is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
277,whatweb,http://192.168.112.130,tech_fingerprint,Info,Technology detected: HTTPServer,WhatWeb detected 'HTTPServer' on http://192.168.112.130. Detail: Apache/2.2.8 (Ubuntu) DAV/2.,WhatWeb plugin match: HTTPServer — Apache/2.2.8 (Ubuntu) DAV/2 on http://192.168.112.130,Ensure HTTPServer is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
278,whatweb,http://192.168.112.130,tech_fingerprint,Info,Technology detected: IP,WhatWeb detected 'IP' on http://192.168.112.130. Detail: 192.168.112.130.,WhatWeb plugin match: IP — 192.168.112.130 on http://192.168.112.130,Ensure IP is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
280,whatweb,http://192.168.112.130,tech_fingerprint,Info,Technology detected: Title,WhatWeb detected 'Title' on http://192.168.112.130. Detail: Metasploitable2 - Linux.,WhatWeb plugin match: Title — Metasploitable2 - Linux on http://192.168.112.130,Ensure Title is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
282,whatweb,http://192.168.112.130,tech_fingerprint,Info,Technology detected: X-Powered-By,WhatWeb detected 'X-Powered-By' on http://192.168.112.130. Detail: PHP/5.2.4-2ubuntu5.10.,WhatWeb plugin match: X-Powered-By — PHP/5.2.4-2ubuntu5.10 on http://192.168.112.130,Ensure X-Powered-By is up to date and properly configured. Remove version information from HTTP headers if possible.,Potential
288,ffuf,http://192.168.112.130/dav,endpoint,Info,Endpoint discovered: http://192.168.112.130/dav [301],"ffuf discovered endpoint 'http://192.168.112.130/dav' returning HTTP 301. Response size: 321 bytes, 21 words.","ffuf found: http://192.168.112.130/dav — status 301, length 321",Review endpoint 'http://192.168.112.130/dav' to confirm it should be publicly accessible.,Potential
295,ffuf,http://192.168.112.130/test,endpoint,Info,Endpoint discovered: http://192.168.112.130/test [301],"ffuf discovered endpoint 'http://192.168.112.130/test' returning HTTP 301. Response size: 322 bytes, 21 words.","ffuf found: http://192.168.112.130/test — status 301, length 322",Review endpoint 'http://192.168.112.130/test' to confirm it should be publicly accessible.,Potential
296,ffuf,http://192.168.112.130/twiki,endpoint,Info,Endpoint discovered: http://192.168.112.130/twiki [301],"ffuf discovered endpoint 'http://192.168.112.130/twiki' returning HTTP 301. Response size: 323 bytes, 21 words.","ffuf found: http://192.168.112.130/twiki — status 301, length 323",Review endpoint 'http://192.168.112.130/twiki' to confirm it should be publicly accessible.,Potential
